group_label,delivery_days,review_score
P0_目标流失,31,2
P0_目标流失,7,1
P0_目标流失,18,1
P0_目标流失,8,3
P0_目标流失,29,4
P0_目标流失,15,5
P0_目标流失,5,5
P0_目标流失,6,5
P0_目标流失,29,1
P0_目标流失,23,3
P0_目标流失,6,5
P0_目标流失,8,4
P0_目标流失,7,1
P0_目标流失,5,4
P0_目标流失,12,5
P0_目标流失,21,5
P0_目标流失,5,5
P0_目标流失,9,5
P0_目标流失,33,5
P0_目标流失,19,5
P0_目标流失,19,1
P0_目标流失,27,4
P0_目标流失,34,4
P0_目标流失,6,5
P0_目标流失,4,5
P0_目标流失,5,5
P0_目标流失,9,5
P0_目标流失,16,5
P0_目标流失,21,4
P0_目标流失,5,5
P0_目标流失,6,1
P0_目标流失,19,4
P0_目标流失,4,5
P0_目标流失,17,5
P0_目标流失,14,5
P0_目标流失,7,3
P0_目标流失,27,3
P0_目标流失,21,5
P0_目标流失,12,5
P0_目标流失,13,4
P0_目标流失,26,4
P0_目标流失,13,4
P0_目标流失,15,4
P0_目标流失,11,3
P0_目标流失,13,5
P0_目标流失,12,5
P0_目标流失,3,5
P0_目标流失,11,5
P0_目标流失,5,5
P0_目标流失,8,5
P0_目标流失,18,5
P0_目标流失,24,5
P0_目标流失,36,5
P0_目标流失,20,5
P0_目标流失,19,5
P0_目标流失,23,2
P0_目标流失,13,5
P0_目标流失,13,5
P0_目标流失,9,4
P0_目标流失,52,1
P0_目标流失,8,4
P0_目标流失,8,4
P0_目标流失,3,5
P0_目标流失,30,4
P0_目标流失,5,5
P0_目标流失,28,4
P0_目标流失,3,5
P0_目标流失,18,5
P0_目标流失,6,5
P0_目标流失,3,5
P0_目标流失,11,5
P0_目标流失,10,2
P0_目标流失,10,5
P0_目标流失,9,5
P0_目标流失,2,5
P0_目标流失,27,NULL
P0_目标流失,20,4
P0_目标流失,10,4
P0_目标流失,7,5
P0_目标流失,8,5
P0_目标流失,12,5
P0_目标流失,14,4
P0_目标流失,18,5
P0_目标流失,26,5
P0_目标流失,12,5
P0_目标流失,7,5
P0_目标流失,26,5
P0_目标流失,14,5
P0_目标流失,19,5
P0_目标流失,13,5
P0_目标流失,10,5
P0_目标流失,12,5
P0_目标流失,5,5
P0_目标流失,18,5
P0_目标流失,9,5
P0_目标流失,3,5
P0_目标流失,5,5
P0_目标流失,9,5
P0_目标流失,16,5
P0_目标流失,15,5
P0_目标流失,19,5
P0_目标流失,14,5
P0_目标流失,9,5
P0_目标流失,19,5
P0_目标流失,13,5
P0_目标流失,26,5
P0_目标流失,15,5
P0_目标流失,22,5
P0_目标流失,8,5
P0_目标流失,14,5
P0_目标流失,8,5
P0_目标流失,40,5
P0_目标流失,47,1
P0_目标流失,11,5
P0_目标流失,40,5
P0_目标流失,16,5
P0_目标流失,23,5
P0_目标流失,2,5
P0_目标流失,10,5
P0_目标流失,23,5
P0_目标流失,25,4
P0_目标流失,19,3
P0_目标流失,23,5
P0_目标流失,11,5
P0_目标流失,13,5
P0_目标流失,11,5
P0_目标流失,12,5
P0_目标流失,8,5
P0_目标流失,27,5
P0_目标流失,18,5
P0_目标流失,4,2
P0_目标流失,12,4
P0_目标流失,4,5
P0_目标流失,12,5
P0_目标流失,22,4
P0_目标流失,14,5
P0_目标流失,6,5
P0_目标流失,20,4
P0_目标流失,21,5
P0_目标流失,33,5
P0_目标流失,13,4
P0_目标流失,7,5
P0_目标流失,18,5
P0_目标流失,13,5
P0_目标流失,6,4
P0_目标流失,11,5
P0_目标流失,34,1
P0_目标流失,11,3
P0_目标流失,11,1
P0_目标流失,15,5
P0_目标流失,26,5
P0_目标流失,10,5
P0_目标流失,16,5
P0_目标流失,11,5
P0_目标流失,20,5
P0_目标流失,28,1
P0_目标流失,9,5
P0_目标流失,41,1
P0_目标流失,6,5
P0_目标流失,13,1
P0_目标流失,40,1
P0_目标流失,4,5
P0_目标流失,22,5
P0_目标流失,19,5
P0_目标流失,23,5
P0_目标流失,29,5
P0_目标流失,14,4
P0_目标流失,11,1
P0_目标流失,16,4
P0_目标流失,22,5
P0_目标流失,13,4
P0_目标流失,12,5
P0_目标流失,22,4
P0_目标流失,9,5
P0_目标流失,3,4
P0_目标流失,10,5
P0_目标流失,7,5
P0_目标流失,50,5
P0_目标流失,2,5
P0_目标流失,9,5
P0_目标流失,8,5
P0_目标流失,10,5
P0_目标流失,10,5
P0_目标流失,10,NULL
P0_目标流失,21,5
P0_目标流失,6,5
P0_目标流失,8,5
P0_目标流失,10,4
P0_目标流失,21,4
P0_目标流失,20,2
P0_目标流失,18,4
P0_目标流失,23,5
P0_目标流失,20,4
P0_目标流失,21,5
P0_目标流失,7,5
P0_目标流失,28,5
P0_目标流失,6,3
P0_目标流失,7,5
P0_目标流失,42,4
P0_目标流失,12,5
P0_目标流失,10,5
P0_目标流失,18,5
P0_目标流失,17,4
P0_目标流失,24,5
P0_目标流失,25,4
P0_目标流失,10,5
P0_目标流失,11,5
P0_目标流失,12,3
P0_目标流失,28,5
P0_目标流失,13,5
P0_目标流失,10,5
P0_目标流失,15,5
P0_目标流失,40,1
P0_目标流失,21,5
P0_目标流失,6,5
P0_目标流失,8,4
P0_目标流失,6,5
P0_目标流失,12,4
P0_目标流失,18,5
P0_目标流失,14,5
P0_目标流失,20,5
P0_目标流失,16,5
P0_目标流失,12,4
P0_目标流失,17,5
P0_目标流失,14,5
P0_目标流失,4,5
P0_目标流失,13,4
P0_目标流失,15,5
