group_label,delivery_days,review_score
短周期-活跃-超高消费,9,5
短周期-活跃-超高消费,19,1
短周期-活跃-超高消费,3,5
短周期-活跃-超高消费,8,3
短周期-活跃-超高消费,12,5
短周期-活跃-超高消费,6,3
短周期-活跃-超高消费,28,1
短周期-活跃-超高消费,28,1
短周期-活跃-超高消费,2,5
短周期-活跃-超高消费,6,5
短周期-活跃-超高消费,13,5
短周期-活跃-超高消费,15,5
短周期-活跃-超高消费,23,4
短周期-活跃-超高消费,12,5
短周期-活跃-超高消费,21,4
短周期-活跃-超高消费,6,5
短周期-活跃-超高消费,12,5
短周期-活跃-超高消费,15,1
短周期-活跃-超高消费,7,5
短周期-活跃-超高消费,21,5
短周期-活跃-超高消费,10,4
短周期-活跃-超高消费,7,5
短周期-活跃-超高消费,10,4
短周期-活跃-超高消费,13,5
短周期-活跃-超高消费,21,5
短周期-活跃-超高消费,22,1
短周期-活跃-超高消费,6,4
短周期-活跃-超高消费,4,5
短周期-活跃-超高消费,12,5
短周期-活跃-超高消费,8,5
短周期-活跃-超高消费,6,5
短周期-活跃-超高消费,4,5
短周期-活跃-超高消费,21,1
短周期-活跃-超高消费,25,5
短周期-活跃-超高消费,18,5
短周期-活跃-超高消费,4,5
短周期-活跃-超高消费,7,5
短周期-活跃-超高消费,9,4
短周期-活跃-超高消费,9,4
短周期-活跃-超高消费,29,3
短周期-活跃-超高消费,12,1
短周期-活跃-超高消费,14,5
短周期-活跃-超高消费,15,5
短周期-活跃-超高消费,20,3
短周期-活跃-超高消费,10,5
短周期-活跃-超高消费,4,5
短周期-活跃-超高消费,10,5
短周期-活跃-超高消费,8,3
短周期-活跃-超高消费,5,4
短周期-活跃-超高消费,19,5
短周期-活跃-超高消费,24,5
短周期-活跃-超高消费,17,1
短周期-活跃-超高消费,12,4
短周期-活跃-超高消费,6,5
短周期-活跃-超高消费,22,5
短周期-活跃-超高消费,10,5
短周期-活跃-超高消费,10,5
短周期-活跃-超高消费,17,5
短周期-活跃-超高消费,11,5
短周期-活跃-超高消费,21,4
短周期-活跃-超高消费,22,1
短周期-活跃-超高消费,3,5
短周期-活跃-超高消费,9,5
短周期-活跃-超高消费,11,5
