商品品类购买周期,R层级,M层级,用户人数,用户人数百分占比,销售额,销售额百分占比,价值倍数
短,活跃,低消费,822,0.88,52077.17,0.34,0.38
短,活跃,中消费,545,0.58,75841.65,0.49,0.84
短,活跃,高消费,292,0.31,85364.5,0.55,1.77
短,活跃,超高消费,126,0.13,96695.83,0.63,4.65
短,沉默,低消费,1281,1.37,79086.3,0.51,0.37
短,沉默,中消费,886,0.95,121819.06,0.79,0.83
短,沉默,高消费,440,0.47,130974.77,0.85,1.8
短,沉默,超高消费,91,0.1,83634.66,0.54,5.56
短,流失,低消费,3118,3.34,188427.2,1.22,0.37
短,流失,中消费,2033,2.18,276943.85,1.8,0.82
短,流失,高消费,980,1.05,307379.54,1.99,1.9
短,流失,超高消费,293,0.31,243364.87,1.58,5.03
中,活跃,低消费,2615,2.8,166151.04,1.08,0.38
中,活跃,中消费,2561,2.74,363634.99,2.36,0.86
中,活跃,高消费,1232,1.32,346224.43,2.25,1.7
中,活跃,超高消费,350,0.37,281288.93,1.82,4.86
中,沉默,低消费,3991,4.28,246592.82,1.6,0.37
中,沉默,中消费,3484,3.73,502135.06,3.26,0.87
中,沉默,高消费,1835,1.97,513249.69,3.33,1.69
中,沉默,超高消费,434,0.46,349567.23,2.27,4.88
中,流失,低消费,3119,3.34,201237.67,1.3,0.39
中,流失,中消费,2373,2.54,336995.2,2.19,0.86
中,流失,高消费,1199,1.28,350590.79,2.27,1.77
中,流失,超高消费,363,0.39,311092.19,2.02,5.19
长,活跃,低消费,20519,21.98,1218278.73,7.9,0.36
长,活跃,中消费,13372,14.32,1925106.12,12.48,0.87
长,活跃,高消费,7109,7.62,2092042.93,13.57,1.78
长,活跃,超高消费,1942,2.08,1896462.25,12.3,5.91
长,沉默,低消费,7783,8.34,458753.36,2.97,0.36
长,沉默,中消费,4863,5.21,685044.94,4.44,0.85
长,沉默,高消费,2632,2.82,759492.75,4.93,1.75
长,沉默,超高消费,666,0.71,675532.33,4.38,6.14
